                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.6042,                 2.1559,                 1.3937,                0.27083,                0.09269,                0.03045,                0.00983,                  3.117,                 8.2846,                 1.8498,               0.006535,               0.006535,               0.006535
                     38,                 2.4951,                 2.1195,                 1.3887,                0.28583,                0.10724,                0.03488,                0.01112,                 3.0431,                 11.254,                 1.8288,               0.006436,               0.006436,               0.006436
                     39,                  2.464,                 2.0061,                 1.4028,                0.28045,                0.09891,                0.03635,                0.01173,                 2.9911,                 9.8464,                 1.8105,               0.006337,               0.006337,               0.006337
                     40,                 2.5358,                 2.1517,                  1.428,                0.40448,                0.14207,                0.05741,                0.01883,                 2.7543,                 6.5499,                 1.6421,               0.006238,               0.006238,               0.006238
                     41,                 2.5035,                 2.0105,                 1.3678,                0.42033,                0.12394,                0.06537,                0.02159,                  2.733,                 5.7969,                 1.6124,               0.006139,               0.006139,               0.006139
                     42,                 2.5859,                 2.0283,                 1.3576,                0.08004,                0.13076,                0.06776,                0.02307,                 2.7734,                 6.5224,                 1.6033,                0.00604,                0.00604,                0.00604
                     43,                 2.4757,                 2.0505,                 1.3076,                0.31275,                 0.1288,                0.07005,                0.02334,                 2.6764,                 6.3599,                 1.5468,               0.005941,               0.005941,               0.005941
                     44,                 2.4643,                 1.9388,                 1.3284,                0.31037,                0.13279,                 0.0645,                0.02197,                  2.692,                 5.1308,                 1.5148,               0.005842,               0.005842,               0.005842
                     45,                 2.3837,                 1.9803,                 1.3749,                 0.4232,                0.13744,                0.06554,                0.02334,                 2.6235,                 3.7832,                 1.4514,               0.005743,               0.005743,               0.005743
                     46,                 2.3798,                 2.0345,                 1.3724,                0.44184,                0.15788,                 0.0931,                0.03495,                 2.4282,                 2.6274,                  1.361,               0.005644,               0.005644,               0.005644
                     47,                 2.3698,                 1.9733,                 1.3654,                0.43787,                 0.1725,                0.09768,                0.03689,                 2.4308,                 2.7889,                 1.3698,               0.005545,               0.005545,               0.005545
                     48,                 2.4568,                 1.9411,                 1.3187,                0.43254,                0.15403,                0.08801,                0.03137,                 2.6167,                 4.0206,                 1.4759,               0.005446,               0.005446,               0.005446
                     49,                 2.4162,                 1.9368,                 1.3234,                 0.5412,                0.14927,                0.08535,                0.03027,                 2.6392,                 4.1098,                 1.4905,               0.005347,               0.005347,               0.005347
                     50,                 2.4462,                 2.0145,                 1.3351,                0.54764,                0.14119,                 0.0925,                0.03424,                 2.4934,                 2.8928,                 1.4173,               0.005248,               0.005248,               0.005248
                     51,                 2.4441,                 1.8963,                 1.2962,                0.67586,                0.14904,                0.10142,                0.04026,                 2.3554,                  2.319,                 1.3596,               0.005149,               0.005149,               0.005149
                     52,                 2.3608,                 1.9089,                 1.2793,                0.69004,                0.14474,                 0.1035,                0.04149,                 2.3537,                 2.3273,                 1.3568,                0.00505,                0.00505,                0.00505
                     53,                 2.3751,                 1.8706,                 1.2817,                0.67927,                0.14762,                0.11085,                 0.0444,                 2.3616,                 2.5505,                 1.3597,               0.004951,               0.004951,               0.004951
                     54,                 2.3214,                 1.8862,                 1.3188,                0.56415,                0.14741,                0.10962,                0.04302,                 2.3784,                 2.5811,                  1.369,               0.004852,               0.004852,               0.004852
                     55,                 2.3332,                 1.9345,                 1.3196,                0.54975,                0.15346,                0.09656,                0.03623,                 2.5255,                 2.6119,                 1.4279,               0.004753,               0.004753,               0.004753
