                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6945,                 1.5351,                   1.03,                0.48018,                0.16651,                 0.1749,                0.09869,                 1.7943,                 1.6821,                 1.0185,               0.006733,               0.006733,               0.006733
                     36,                 1.7763,                 1.5624,                  1.026,                0.46384,                0.19213,                0.18265,                0.10617,                 1.6518,                 1.6037,                 1.0021,               0.006634,               0.006634,               0.006634
                     37,                 1.8039,                 1.5737,                 1.0343,                0.46987,                0.19244,                0.18269,                0.10617,                  1.734,                 1.5728,                 1.0082,               0.006535,               0.006535,               0.006535
                     38,                 1.6693,                 1.5422,                 1.0159,                0.42747,                0.21228,                0.18579,                 0.1115,                 1.6127,                 1.5627,                0.99066,               0.006436,               0.006436,               0.006436
                     39,                 1.6046,                  1.424,                 1.0071,                0.46859,                0.20634,                0.19026,                0.11193,                   1.71,                 1.5082,                 1.0034,               0.006337,               0.006337,               0.006337
                     40,                  1.721,                 1.5421,                 1.0475,                0.42515,                0.20756,                0.19563,                0.11707,                 1.6461,                 1.5096,                0.99389,               0.006238,               0.006238,               0.006238
                     41,                 1.7467,                 1.5135,                 1.0236,                0.44788,                0.21258,                0.19419,                0.11435,                 1.6925,                 1.4745,                0.99468,               0.006139,               0.006139,               0.006139
                     42,                 1.8237,                 1.5075,                 1.0289,                0.48767,                0.23279,                0.19894,                0.12158,                 1.6159,                 1.3756,                0.98433,                0.00604,                0.00604,                0.00604
                     43,                 1.6979,                 1.4632,                 1.0017,                0.46008,                0.22409,                0.20269,                0.12008,                 1.6234,                 1.4203,                0.98567,               0.005941,               0.005941,               0.005941
                     44,                 1.7713,                  1.478,                 1.0211,                 0.4229,                0.19932,                0.17837,                0.10047,                 1.8365,                 1.4581,                 1.0199,               0.005842,               0.005842,               0.005842
                     45,                 1.7473,                  1.514,                 1.0357,                0.51082,                0.23379,                0.21281,                0.13005,                 1.5634,                  1.385,                0.97783,               0.005743,               0.005743,               0.005743
                     46,                 1.6154,                 1.4163,                 1.0259,                0.47286,                0.19686,                0.19668,                0.11299,                  1.686,                 1.4311,                0.99772,               0.005644,               0.005644,               0.005644
