                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9225,                 1.6108,                 1.1218,                0.59358,                0.13375,                0.11285,                0.05075,                 2.0727,                 1.8641,                  1.223,               0.006733,               0.006733,               0.006733
                     36,                 1.9462,                 1.5531,                 1.0983,                0.20913,                0.23685,                0.14917,                0.07125,                   2.02,                 1.7376,                  1.147,               0.006634,               0.006634,               0.006634
                     37,                 1.9915,                 1.5786,                 1.1038,                0.59529,                0.15727,                0.15138,                0.07274,                 2.0332,                 1.7387,                 1.1379,               0.006535,               0.006535,               0.006535
                     38,                 1.9108,                 1.5332,                 1.0973,                0.60285,                0.15338,                0.14874,                0.07352,                 2.0058,                 1.7523,                 1.1533,               0.006436,               0.006436,               0.006436
                     39,                 1.8128,                 1.4383,                 1.0989,                0.59544,                0.16584,                0.16424,                0.07848,                 1.9798,                 1.7239,                 1.1484,               0.006337,               0.006337,               0.006337
                     40,                 1.9275,                 1.5589,                 1.1536,                0.49745,                0.18462,                0.13996,                0.06614,                 2.0984,                 1.7441,                 1.1453,               0.006238,               0.006238,               0.006238
                     41,                 1.9383,                  1.519,                 1.1053,                0.50487,                0.17159,                0.13562,                0.06735,                 2.1867,                   1.77,                 1.1559,               0.006139,               0.006139,               0.006139
                     42,                 2.0276,                  1.554,                 1.1113,                0.53142,                 0.1681,                0.14767,                0.07604,                 2.1168,                  1.712,                 1.1366,                0.00604,                0.00604,                0.00604
                     43,                  1.938,                 1.4949,                 1.0812,                0.46282,                0.18411,                0.15973,                0.08971,                 2.0301,                 1.6931,                 1.1244,               0.005941,               0.005941,               0.005941
                     44,                 1.9726,                 1.4753,                 1.1054,                 0.5496,                0.16175,                0.16141,                0.08749,                 2.0175,                 1.6456,                 1.1108,               0.005842,               0.005842,               0.005842
                     45,                 1.8586,                 1.5224,                 1.1056,                0.36458,                0.15215,                0.13286,                0.06845,                 2.1078,                 1.7092,                 1.1226,               0.005743,               0.005743,               0.005743
                     46,                 1.8488,                 1.4992,                 1.1013,                 0.4073,                0.15849,                0.14648,                0.07781,                 2.0476,                 1.6079,                 1.0878,               0.005644,               0.005644,               0.005644
                     47,                 1.8096,                 1.4524,                 1.0676,                0.28382,                0.19399,                0.16317,                0.08859,                 1.9477,                 1.5583,                 1.0617,               0.005545,               0.005545,               0.005545
                     48,                 1.8835,                 1.4573,                 1.0726,                0.29434,                 0.1913,                 0.1563,                0.08253,                 2.0528,                 1.6025,                 1.0904,               0.005446,               0.005446,               0.005446
                     49,                 1.8678,                 1.4765,                 1.0644,                  0.261,                0.20712,                0.16237,                0.08731,                 1.9548,                 1.5706,                 1.0757,               0.005347,               0.005347,               0.005347
                     50,                 1.8346,                 1.4852,                 1.0727,                0.15245,                0.26693,                0.18133,                0.09567,                 1.8446,                 1.5207,                 1.0522,               0.005248,               0.005248,               0.005248
                     51,                 1.9129,                 1.4317,                 1.0603,                0.19936,                0.22336,                0.17875,                0.09616,                 1.8862,                 1.4988,                 1.0566,               0.005149,               0.005149,               0.005149
                     52,                 1.9073,                 1.4425,                  1.071,                 0.3356,                0.19252,                 0.1714,                0.09174,                 1.9466,                 1.4466,                 1.0667,                0.00505,                0.00505,                0.00505
                     53,                 1.8463,                 1.4104,                 1.0439,                0.31598,                0.22287,                0.20251,                0.11122,                   1.83,                  1.397,                 1.0451,               0.004951,               0.004951,               0.004951
                     54,                 1.8229,                 1.4474,                 1.0801,                0.50032,                0.20659,                0.21897,                0.12154,                 1.7579,                 1.3595,                 1.0457,               0.004852,               0.004852,               0.004852
                     55,                 1.8108,                 1.4407,                 1.0776,                0.46552,                0.22105,                0.21089,                0.11741,                 1.7803,                 1.3588,                 1.0432,               0.004753,               0.004753,               0.004753
                     56,                 1.7886,                  1.422,                 1.0637,                0.47194,                0.18488,                0.19529,                0.11084,                 1.8116,                 1.3993,                 1.0386,               0.004654,               0.004654,               0.004654
                     57,                 1.7954,                 1.3838,                 1.0573,                0.65998,                0.13849,                0.18643,                0.10615,                 1.8088,                 1.4338,                 1.0397,               0.004555,               0.004555,               0.004555
                     58,                 1.7452,                 1.3249,                 1.0361,                0.47975,                0.16092,                0.19295,                0.10643,                 1.7594,                 1.4454,                 1.0348,               0.004456,               0.004456,               0.004456
                     59,                 1.7784,                 1.3816,                 1.0556,                0.55025,                0.16726,                0.19344,                0.10328,                 1.7474,                 1.4211,                 1.0334,               0.004357,               0.004357,               0.004357
                     60,                 1.8193,                 1.3625,                 1.0407,                0.49184,                0.19249,                0.19183,                0.10242,                 1.7827,                 1.3776,                 1.0382,               0.004258,               0.004258,               0.004258
                     61,                 1.8665,                 1.4154,                 1.0578,                0.32256,                0.22568,                0.21864,                0.11729,                 1.7654,                 1.3329,                 1.0369,               0.004159,               0.004159,               0.004159
                     62,                 1.6861,                 1.3937,                 1.0532,                0.27802,                0.25187,                0.24876,                0.13393,                 1.7151,                 1.3325,                 1.0284,                0.00406,                0.00406,                0.00406
                     63,                 1.7461,                 1.3394,                 1.0446,                0.31893,                0.26865,                0.25325,                0.14366,                 1.6991,                 1.3415,                 1.0211,               0.003961,               0.003961,               0.003961
                     64,                 1.8096,                 1.3709,                 1.0544,                 0.4453,                0.24299,                0.24674,                0.14032,                  1.738,                 1.3506,                 1.0224,               0.003862,               0.003862,               0.003862
                     65,                 1.6924,                 1.2929,                 1.0445,                0.36944,                0.26803,                0.24407,                0.13941,                 1.7536,                 1.3597,                 1.0248,               0.003763,               0.003763,               0.003763
                     66,                   1.74,                 1.3224,                 1.0653,                0.44414,                0.25593,                0.26075,                0.15315,                 1.6851,                 1.3276,                 1.0169,               0.003664,               0.003664,               0.003664
                     67,                 1.8884,                 1.3789,                 1.0453,                0.47341,                0.25207,                0.25624,                0.14686,                 1.6925,                 1.3207,                 1.0171,               0.003565,               0.003565,               0.003565
                     68,                 1.8188,                 1.3339,                 1.0435,                0.42781,                0.26477,                 0.2564,                0.14927,                 1.7221,                 1.3416,                 1.0267,               0.003466,               0.003466,               0.003466
                     69,                 1.7895,                 1.3137,                 1.0335,                0.44816,                0.27495,                0.25925,                0.15542,                 1.7044,                 1.3168,                 1.0235,               0.003367,               0.003367,               0.003367
                     70,                 1.7033,                 1.3752,                 1.0516,                 0.5899,                0.26979,                0.26757,                0.16089,                 1.6586,                 1.2686,                 1.0154,               0.003268,               0.003268,               0.003268
                     71,                 1.7795,                 1.4108,                  1.086,                0.59462,                 0.2585,                 0.2847,                0.17483,                 1.6556,                  1.253,                 1.0238,               0.003169,               0.003169,               0.003169
                     72,                 1.7044,                 1.3658,                 1.0682,                0.31265,                0.27005,                0.28802,                0.17554,                 1.6546,                 1.2715,                 1.0235,                0.00307,                0.00307,                0.00307
                     73,                  1.687,                 1.2677,                  1.023,                0.30518,                 0.2972,                0.29017,                0.17302,                 1.6366,                 1.2848,                 1.0064,               0.002971,               0.002971,               0.002971
                     74,                 1.7786,                 1.3325,                 1.0427,                 0.4306,                0.26755,                0.28649,                0.16938,                 1.6813,                 1.2769,                 1.0045,               0.002872,               0.002872,               0.002872
                     75,                 1.6746,                 1.2532,                 1.0277,                 0.5916,                0.22789,                0.28252,                0.16655,                 1.6934,                  1.258,                 1.0068,               0.002773,               0.002773,               0.002773
                     76,                 1.7528,                  1.308,                  1.021,                0.39002,                0.27133,                0.28245,                0.16581,                  1.633,                 1.2301,                0.99731,               0.002674,               0.002674,               0.002674
                     77,                 1.6407,                 1.2422,                 1.0039,                0.46626,                0.26863,                0.27543,                0.16144,                 1.6144,                  1.221,                0.99842,               0.002575,               0.002575,               0.002575
                     78,                 1.6814,                 1.2588,                 1.0057,                0.37052,                0.28202,                0.25912,                0.14952,                 1.6244,                 1.2291,                 1.0028,               0.002476,               0.002476,               0.002476
                     79,                 1.6868,                 1.3437,                 1.0168,                0.38096,                0.26681,                0.25353,                0.14554,                 1.6333,                 1.2233,                 1.0042,               0.002377,               0.002377,               0.002377
                     80,                 1.7757,                 1.3239,                 1.0057,                0.23598,                0.27622,                0.25118,                0.14078,                  1.684,                 1.2456,                 1.0143,               0.002278,               0.002278,               0.002278
                     81,                 1.6459,                  1.247,                 1.0172,                0.28969,                0.27662,                0.25448,                0.14446,                 1.7086,                 1.2533,                 1.0208,               0.002179,               0.002179,               0.002179
                     82,                 1.6911,                 1.2805,                 1.0308,                0.47317,                0.26237,                0.27451,                0.15967,                 1.6572,                 1.2219,                 1.0087,                0.00208,                0.00208,                0.00208
                     83,                 1.6593,                 1.2254,                0.98939,                0.46521,                0.27993,                0.29763,                0.18056,                 1.5839,                  1.189,                0.99327,               0.001981,               0.001981,               0.001981
                     84,                 1.5625,                 1.2202,                 1.0235,                0.47713,                0.29066,                0.31011,                0.19111,                 1.5397,                 1.1622,                0.98841,               0.001882,               0.001882,               0.001882
                     85,                 1.7253,                 1.1975,                 1.0144,                0.37691,                0.30987,                0.30791,                0.18777,                 1.5434,                 1.1588,                0.99268,               0.001783,               0.001783,               0.001783
                     86,                 1.6225,                 1.1731,                  1.001,                0.37131,                0.31017,                0.30255,                0.18168,                 1.5388,                 1.1644,                0.99057,               0.001684,               0.001684,               0.001684
                     87,                 1.5936,                 1.2311,                 1.0149,                0.34529,                0.30985,                0.29411,                0.17505,                 1.5583,                 1.1885,                0.99065,               0.001585,               0.001585,               0.001585
                     88,                  1.636,                  1.233,                 1.0149,                0.48647,                0.27471,                0.28392,                0.16738,                 1.5928,                 1.2119,                0.99573,               0.001486,               0.001486,               0.001486
                     89,                 1.6432,                 1.2168,                 1.0033,                0.48339,                0.27583,                0.27867,                0.16715,                  1.615,                 1.2271,                      1,               0.001387,               0.001387,               0.001387
                     90,                 1.6398,                 1.2479,                 1.0287,                0.49086,                0.28426,                0.28696,                0.16824,                 1.6022,                 1.2174,                0.99754,               0.001288,               0.001288,               0.001288
                     91,                 1.6935,                 1.4218,                 1.0244,                0.51162,                0.29347,                0.30801,                0.18249,                 1.5634,                 1.1943,                0.98818,               0.001189,               0.001189,               0.001189
                     92,                  1.619,                 1.4045,                 1.0408,                0.57854,                0.29081,                 0.3207,                0.19183,                 1.5492,                 1.1791,                 0.9839,                0.00109,                0.00109,                0.00109
                     93,                 1.7532,                 1.4188,                  1.022,                0.47862,                0.30066,                0.32705,                0.19717,                 1.5504,                 1.1772,                 0.9842,               0.000991,               0.000991,               0.000991
                     94,                 1.6868,                 1.2909,                 1.0208,                0.60114,                0.30454,                0.32321,                0.19492,                 1.5427,                 1.1743,                0.98345,               0.000892,               0.000892,               0.000892
                     95,                 1.6102,                 1.2447,                 1.0217,                0.47116,                0.29379,                0.31576,                0.19215,                 1.5299,                 1.1754,                 0.9801,               0.000793,               0.000793,               0.000793
                     96,                 1.6287,                  1.266,                 1.0182,                0.48636,                0.29929,                0.31074,                0.19165,                 1.5274,                 1.1793,                0.97749,               0.000694,               0.000694,               0.000694
                     97,                 1.5512,                 1.2292,                0.99363,                0.48027,                0.31408,                0.30603,                0.18977,                 1.5418,                 1.1888,                0.97835,               0.000595,               0.000595,               0.000595
                     98,                 1.5875,                 1.2244,                 1.0029,                0.48885,                0.31037,                0.30876,                0.19372,                 1.5544,                 1.1948,                0.98029,               0.000496,               0.000496,               0.000496
                     99,                 1.5706,                 1.2254,                0.99734,                0.49458,                0.30338,                0.30863,                0.19507,                 1.5566,                 1.1968,                0.98103,               0.000397,               0.000397,               0.000397
                    100,                 1.6173,                   1.24,                 1.0329,                0.48687,                0.30515,                0.30967,                0.19852,                 1.5491,                 1.1932,                0.97984,               0.000298,               0.000298,               0.000298
